Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Enterprise Value,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Income,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Sales,P/B,EPS next Y Percentage,ROA,Short Interest,Perf YTD,Book/sh,P/C,EPS next 5Y,ROE,52W High,Perf Year,Cash/sh,P/FCF,EPS past 3/5Y,ROIC,52W Low,Perf 3Y,Dividend Est.,EV/EBITDA,Sales past 3/5Y,Gross Margin,Volatility W,Volatility M,Perf 5Y,Dividend TTM,EV/Sales,EPS Y/Y TTM,Oper. Margin,ATR (14),Perf 10Y,Dividend Ex-Date,Quick Ratio,Sales Y/Y TTM,Profit Margin,RSI (14),Recom,Dividend Gr. 3/5Y,Current Ratio,EPS Q/Q,SMA20,Beta,Target Price,Payout,Debt/Eq,Sales Q/Q,SMA50,Rel Volume,Prev Close,Employees,LT Debt/Eq,Earnings,SMA200,Avg Volume,Price,IPO,Option/Short,EPS/Sales Surpr.,Trades,Volume,Change,Ticker,Fetch_Date,Source_Index,Category,Asset Type,Tags,Return% 1Y,Total Holdings,Sponsor,ETF Type,Return% 3Y,AUM,Fund Family,Bond Type,Return% 5Y,NAV/sh,Average Maturity,Return% 10Y,Index Weighting,Commodity Type,Return% SI,Active/Passive,Quant Type,Flows% 1M,ESG Type,Flows% 3M,Dividend Type,Sector/Theme,Flows% YTD,Structure Type,Region,Flows% 1Y,Expense,Growth/Value,Flows% 3Y,Inverse/Leveraged,Flows% 5Y
Artius II Acquisition Inc,Financial,Shell Companies,USA,Micro,-,53.42,0.20,20.47%,22.18M,0.75%,291.09M,-,-,0.00%,22.01M,1.33%,291.37M,-,-,77.77%,0.01%,1.72%,5.45M,-,-,-,0.09,2.42%,0.00M,1.36,-,2.41%,0.00M,2.12%,7.75,14554.50,-,2.57%,10.55 -0.30%,4.24%,0.00,-,- -,2.54%,10.09 4.24%,-,-,-,- -,-,0.23%,0.15%,-,-,-,-,-,0.03,-,-,0.05,-,-,75.14,-,- -,0.05,105.16%,1.00%,0.05,-,0.00%,0.00,-,1.36%,0.04,10.55,1,0.00,-,3.10%,25.43K,10.52,"Apr 07, 2025",No / Yes,- -,"

",938,-0.30%,AACB,2026-06-03,NASDAQ_FUNDAMENTALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armada Acquisition Corp III,Financial,Shell Companies,USA,Small,-,-,-,25.00%,25.52M,0.05%,338.77M,-,-,0.00%,25.52M,0.25%,337.87M,-,-,20.01%,0.00%,-,-,-,-,-,0.03,-,-,1.41,-,-,0.00M,0.86%,7.06,376.41,-,-,9.99 -0.35%,-,0.03,-,- -,-,9.74 2.21%,-,-,-,- -,-,0.12%,0.14%,-,-,-,-,-,0.02,-,-,3.12,-,-,60.46,-,- -,3.12,-,0.20%,-,-,-,0.00,-,0.47%,0.00,9.96,2,0.00,-,0.47%,31.37K,9.95,"Mar 27, 2026",No / Yes,- -,"

",22,-0.05%,AACI,2026-06-03,NASDAQ_FUNDAMENTALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATA Creativity Global ADR,Consumer Defensive,Education & Training Services,China,Nano,-,-,-0.21,-,31.80M,-10.50%,45.83M,-,-,-,8.84M,-8.97%,40.20M,-,-,5.98%,0.28%,4.41%,-6.70M,1.23,-,-0.32%,1.83,-9.75%,37.37M,7.38,-,-10.59%,0.03M,34.76%,0.14,3.76,-,-86.43%,2.58 -58.71%,19.66%,0.28,-,2.39% 14.26%,-75.90%,0.74 44.09%,-28.28%,-,-,6.69% 9.68%,48.70%,7.80%,7.97%,-65.87%,-,1.08,-32.56%,-11.16%,0.10,100.81%,"Aug 27, 2018",0.32,0.28%,-17.93%,41.29,1.00,- -,0.32,-300.17%,-8.80%,1.09,6.50,-,1.43,-10.45%,-2.78%,1.17,1.17,1130,0.92,Mar 25 AMC,-13.13%,13.70K,1.07,"Jan 29, 2008",No / Yes,- -,"

","16,095",-8.97%,AACG,2026-06-03,NASDAQ_FUNDAMENTALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abony Acquisition Corp I,Financial,Shell Companies,USA,Small,-,-,-,-,23.70M,-0.50%,310.15M,-,-,-,-,0.41%,308.83M,-,-,5.74%,-,-,-,-,-,-,0.03,-,-,1.38,-,-,0.00M,-0.60%,7.15,234.96,-,-,9.95 -0.60%,-,0.04,-,- -,-,9.84 0.51%,-,-,-,- -,-,0.14%,0.14%,-,-,-,-,-,0.02,-,-,7.64,-,-,42.16,-,- -,7.64,-,0.10%,-,-,-,0.00,-,0.07%,0.00,9.89,2,0.00,-,0.07%,9.58K,9.89,"Apr 13, 2026",No / Yes,- -,"

",43,0.00%,AACO,2026-06-03,NASDAQ_FUNDAMENTALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AdvisorShares Dorsey Wright ADR ETF,Financial,Exchange Traded Fund,USA,NASD,-,,,,,-2.07%,"

",,,,,1.19%,,,,,,-3.16%,,,,,,-0.56%,,,,,,-0.84%,,,,,98.38 -13.06%,9.57%,,,,,75.51 13.27%,78.30%,,,,,1.37%,1.32%,25.91%,0.46 (0.53%),,,,1.40,121.35%,"Mar 23, 2026",,,,49.03,,-37.70% 44.49%,,,-0.54%,0.95,,,,,0.94%,0.36,86.23,,,,-0.97%,3.35K,85.53,"Jul 21, 2010",No / Yes,,"

","1,216",-0.81%,AADR,2026-06-03,NASDAQ_FUNDAMENTALS,Global or ExUS Equities - Factor & Thematic,Equities (Stocks),-,11.30%,36,Advisor Shares,"

",24.02%,43.94M,"

","

",7.33%,"

","

","

","

","

","

","

","

",-4.68%,"

",-13.23%,"

","

",-5.31%,"

","

","

",1.09%,"

","

","

","

"
Apogee Acquisition Corp,Financial,Shell Companies,USA,Micro,-,-,-,-,15.47M,-,233.76M,-,-,-,-,-,233.76M,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.10%,-0.00,-,-,-,9.95 0.10%,-,0.00,-,- -,-,9.93 0.30%,-,-,-,- -,-,-,-,-,-,-,-,-,0.01,-,-,0.04,-,-,-,-,- -,0.04,-,0.08%,-,-,-,-,-,0.08%,2.72,9.95,3,-,-,0.08%,894.73K,9.96,"May 28, 2026",No / Yes,- -,"

","1,701,136",0.10%,AACP,2026-06-03,NASDAQ_FUNDAMENTALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpha Architect US Equity 2 ETF,Financial,Exchange Traded Fund,USA,NASD,-,,,,,1.19%,"

",,,,,4.99%,,,,,,11.64%,,,,,,-,,,,,,9.74%,,,,,54.19 -0.11%,-,,,,,45.01 20.26%,-,,,,,0.08%,0.13%,-,0.05 (0.09%),,,,0.29,-,"Dec 30, 2025",,,,75.13,,- -,,,2.03%,-,,,,,7.05%,0.00,54.13,,,,8.88%,2.71K,54.13,"Dec 10, 2025",No / Yes,,"

",6,0.01%,AAEQ,2026-06-03,NASDAQ_FUNDAMENTALS,US Equities - Broad Market & Size,Equities (Stocks),-,-,331,Alpha Architect,"

",-,505.75M,"

","

",-,"

","

","

","

","

","

","

","

",0.03%,"

",-1.19%,"

","

",-2.45%,"

","

","

",0.09%,"

","

","

","

"
American Airlines Group Inc,Industrials,Airlines,USA,Mid,-,45.48,0.31,1.61%,661.39M,-6.16%,9.21B,6.11,2.28,-0.82%,650.72M,17.65%,35.73B,0.06,-0.02,67.73%,13.00%,11.80%,202.00M,0.16,-120.93%,-3.84%,1.25,-0.85%,55.99B,-,3125.09%,0.32%,84.58M,-9.13%,-6.16,1.15,106.08%,-,16.50 -15.58%,22.41%,12.11,8.38,-4.69% -,0.80%,10.09 38.06%,-6.32%,-,9.45,3.71% 25.80%,19.37%,3.87%,3.91%,-46.05%,-,0.64,-70.60%,3.21%,0.60,-56.02%,"Feb 04, 2020",0.38,3.33%,0.36%,58.69,2.30,- -,0.49,19.52%,4.28%,1.37,15.71,0.00%,-,10.84%,14.35%,0.72,14.34,139100,-,Apr 23 BMO,6.64%,67.88M,13.93,"Dec 09, 2013",Yes / Yes,13.68% 0.87%,"

","49,491,036",-2.86%,AAL,2026-06-03,NASDAQ_FUNDAMENTALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantic American Corp,Financial,Insurance - Life,USA,Nano,-,9.01,0.23,80.91%,20.40M,-6.02%,41.41M,-,-,0.00%,3.89M,-21.32%,-,-,-,4.43%,0.11%,-21.92%,4.71M,0.20,-,-4.75%,0.45,-17.14%,208.22M,0.38,-,1.32%,0.00M,-28.27%,5.37,-,-,4.75%,3.71 -45.28%,16.67%,-,1.71,- -42.60%,3.36%,1.65 23.03%,-4.25%,-,-,-1.93% -1.03%,-,4.39%,3.95%,-59.40%,-,-,164.45%,4.67%,0.11,-42.82%,"Apr 09, 2025",-,11.99%,2.26%,30.21,-,- -,0.99,122.76%,-11.51%,0.74,-,-,0.39,20.76%,-15.35%,1.25,2.08,-,0.39,-,-26.03%,9.62K,2.03,"Mar 17, 1980",No / Yes,- -,"

","11,969",-2.40%,AAME,2026-06-03,NASDAQ_FUNDAMENTALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leverage Shares 2X Long AAL Daily ETF,Financial,Exchange Traded Fund,USA,NASD,-,,,,,-12.43%,"

",,,,,34.21%,,,,,,13.55%,,,,,,-18.50%,,,,,,-29.17%,,,,,20.43 -38.56%,-,,,,,7.07 77.53%,-,,,,,6.77%,6.65%,-,0.28 (2.20%),,,,0.95,-,"Dec 30, 2025",,,,56.80,,- -,,,6.76%,-,,,,,25.32%,0.59,13.37,,,,-3.57%,67.54K,12.55,"Jul 11, 2025",No / Yes,,"

","40,031",-6.15%,AALG,2026-06-03,NASDAQ_FUNDAMENTALS,Equity - Leveraged / Inverse,Equities (Stocks),-,-,5,Leverage Shares,"

",-,5.46M,"

","

",-,"

","

","

","

","

","

","

","

",-7.66%,"

",68.42%,"

","

",84.07%,"

","

","

",0.78%,"

","

","

","

"
