Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Enterprise Value,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Income,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Sales,P/B,EPS next Y Percentage,ROA,Short Interest,Perf YTD,Book/sh,P/C,EPS next 5Y,ROE,52W High,Perf Year,Cash/sh,P/FCF,EPS past 3/5Y,ROIC,52W Low,Perf 3Y,Dividend Est.,EV/EBITDA,Sales past 3/5Y,Gross Margin,Volatility W,Volatility M,Perf 5Y,Dividend TTM,EV/Sales,EPS Y/Y TTM,Oper. Margin,ATR (14),Perf 10Y,Dividend Ex-Date,Quick Ratio,Sales Y/Y TTM,Profit Margin,RSI (14),Recom,Dividend Gr. 3/5Y,Current Ratio,EPS Q/Q,SMA20,Beta,Target Price,Payout,Debt/Eq,Sales Q/Q,SMA50,Rel Volume,Prev Close,Employees,LT Debt/Eq,Earnings,SMA200,Avg Volume,Price,IPO,Option/Short,EPS/Sales Surpr.,Trades,Volume,Change,Ticker,Fetch_Date,Source_Index
Abbott Laboratories,Healthcare,Medical Devices,USA,Large,S&P 500,25.29,3.59,0.68%,1.74B,5.19%,158.12B,14.99,6.05,0.31%,1.73B,4.14%,185.51B,1.59,1.28,81.56%,1.34%,-18.25%,6.28B,3.50,6.29%,0.52%,1.83,-28.13%,45.13B,3.04,10.61%,6.54%,23.22M,-27.54%,29.89,21.68,9.42%,12.45%,139.06 -34.72%,-31.72%,4.19,21.43,-1.70% 8.23%,7.68%,81.97 10.75%,-12.88%,2.47 (2.72%),16.59,0.51% 5.08%,52.84%,2.17%,2.28%,-16.94%,2.44 (2.69%),4.11,-53.44%,17.77%,2.16,131.70%,"Apr 15, 2026",1.01,6.59%,13.91%,55.98,1.60,7.72% 9.42%,1.39,-17.14%,5.04%,0.61,116.32,64.54%,0.65,7.78%,-2.20%,1.13,86.99,115000,0.57,Apr 16 BMO,-21.57%,12.69M,90.78,"Mar 01, 1937",Yes / Yes,0.46% 1.49%,"

","14,153,166",4.36%,ABT,2026-06-05,SP500_FUNDAMENTALS
3M Co,Industrials,Conglomerates,USA,Large,"DJIA, S&P 500",29.47,5.18,0.08%,521.57M,-0.05%,79.68B,16.10,9.49,-11.06%,521.12M,6.97%,88.71B,1.91,2.23,76.46%,1.64%,-2.20%,2.79B,3.18,7.85%,-0.04%,2.19,-10.95%,25.02B,24.42,9.16%,7.39%,8.54M,-4.58%,6.26,19.20,8.45%,72.14%,177.41 -13.89%,4.06%,7.95,38.68,-16.13% -8.50%,19.13%,139.34 9.64%,78.21%,2.72 (1.78%),14.07,-10.01% -4.97%,39.55%,1.80%,2.10%,-11.32%,3.02 (1.98%),3.54,-34.33%,19.82%,3.52,8.52%,"May 22, 2026",1.19,2.08%,11.14%,56.16,2.25,-21.17% -13.06%,1.59,-39.85%,2.15%,1.02,178.33,48.63%,4.02,1.28%,3.27%,0.63,151.65,60500,3.46,Apr 21 BMO,-3.04%,3.90M,152.77,"Jan 14, 1946",Yes / Yes,8.14% -0.09%,"

","2,473,253",0.74%,MMM,2026-06-05,SP500_FUNDAMENTALS
A.O. Smith Corp,Industrials,Specialty Industrial Machinery,USA,Mid,S&P 500,15.21,3.75,19.91%,111.96M,-1.06%,7.86B,13.70,4.16,-0.01%,110.38M,-3.18%,8.31B,2.71,0.98,87.75%,6.93%,-20.84%,527.60M,2.06,-1.71%,1.43%,4.79,-13.57%,3.81B,4.18,9.97%,15.25%,7.65M,-14.76%,13.63,38.54,5.05%,28.27%,81.86 -30.36%,-11.34%,1.48,12.14,36.51% 12.66%,21.16%,54.16 5.26%,-16.66%,1.45 (2.54%),10.48,0.67% 5.76%,38.70%,2.00%,2.42%,-17.44%,1.42 (2.49%),2.18,4.76%,18.48%,1.51,39.01%,"Apr 30, 2026",1.00,0.23%,13.84%,41.25,2.56,6.58% 7.09%,1.56,-10.36%,-0.60%,1.17,70.80,35.86%,0.35,-1.90%,-7.32%,1.34,56.73,11500,0.33,Apr 30 BMO,-16.44%,1.60M,57.01,"Sep 30, 1983",Yes / Yes,-9.74% -2.92%,"

","2,141,216",0.49%,AOS,2026-06-05,SP500_FUNDAMENTALS
Accenture plc,Technology,Information Technology Services,Ireland,Large,S&P 500,14.65,12.21,0.26%,614.84M,0.26%,109.81B,11.98,14.93,-2.09%,612.34M,-0.08%,110.32B,1.53,3.72,84.19%,3.94%,-16.42%,7.65B,1.52,7.22%,1.26%,3.82,-31.48%,72.11B,3.52,7.68%,12.05%,24.15M,-33.34%,50.76,11.67,7.83%,25.30%,321.77 -44.41%,-43.47%,15.32,8.79,4.30% 9.01%,19.77%,155.82 14.79%,-42.56%,6.51 (3.64%),8.52,4.19% 9.47%,31.88%,5.04%,4.32%,-36.84%,6.37 (3.56%),1.53,0.49%,15.56%,8.10,50.43%,"Apr 09, 2026",1.34,7.27%,10.61%,48.27,1.77,15.12% 13.09%,1.34,3.98%,0.94%,1.07,243.83,48.71%,0.27,8.31%,-2.86%,0.69,177.43,779000,0.24,Jun 18 BMO,-22.47%,6.32M,178.86,"Jul 19, 2001",Yes / Yes,3.37% 1.13%,"

","4,395,426",0.81%,ACN,2026-06-05,SP500_FUNDAMENTALS
Adobe Inc,Technology,Software - Application,USA,Large,"NDX, S&P 500",15.05,17.17,0.20%,406.00M,7.03%,104.45B,9.78,26.42,-8.88%,403.40M,1.10%,104.22B,0.79,5.82,83.34%,4.70%,-8.28%,7.21B,4.27,12.37%,-3.12%,3.41,-19.95%,24.45B,9.18,12.29%,24.16%,18.98M,-26.16%,28.16,15.16,12.36%,58.77%,421.48 -38.69%,-37.57%,17.05,10.12,18.25% 9.04%,42.01%,224.13 15.30%,-40.78%,-,10.63,10.89% 13.06%,88.77%,4.42%,3.48%,-48.78%,-,4.26,12.71%,36.91%,10.33,161.82%,"Mar 24, 2005",0.91,10.96%,29.48%,54.73,2.41,- -,0.91,11.16%,3.36%,1.40,319.92,0.00%,0.58,11.97%,5.11%,0.93,256.24,31360,0.50,Jun 11 AMC,-14.47%,5.56M,258.42,"Aug 13, 1986",Yes / Yes,3.20% 1.93%,"

","5,159,609",0.85%,ADBE,2026-06-05,SP500_FUNDAMENTALS
Abbvie Inc,Healthcare,Drug Manufacturers - General,USA,Mega,S&P 500,110.94,2.03,0.12%,1.77B,2.89%,397.42B,13.81,16.29,-2.14%,1.76B,9.14%,460.93B,0.64,3.76,76.17%,1.28%,-3.19%,3.60B,6.33,42.67%,-0.17%,3.40,0.25%,62.82B,-,14.16%,2.64%,22.59M,-1.55%,-3.77,42.32,21.56%,15221.82%,244.81 -8.12%,20.07%,5.32,19.89,-29.11% -2.81%,6.21%,181.73 23.78%,64.35%,6.84 (3.04%),15.79,1.75% 5.95%,70.58%,2.65%,2.36%,100.20%,6.74 (3.00%),7.34,-13.63%,33.58%,5.60,246.06%,"Apr 15, 2026",0.68,9.50%,5.72%,66.97,1.67,5.21% 6.56%,0.80,-46.38%,5.97%,0.31,253.85,281.66%,-,12.43%,7.52%,1.02,217.13,57000,-,Apr 29 BMO,2.32%,6.64M,224.94,"Dec 10, 2012",Yes / Yes,2.23% 1.93%,"

","6,782,013",3.60%,ABBV,2026-06-05,SP500_FUNDAMENTALS
Advanced Micro Devices Inc,Technology,Semiconductors,USA,Mega,"NDX, S&P 500",171.72,3.05,0.49%,1.63B,0.99%,853.13B,39.53,13.23,-7.53%,1.62B,47.27%,844.64B,0.63,1.60,68.33%,2.75%,162.32%,5.01B,22.78,79.07%,-0.95%,1.20,143.08%,37.45B,13.23,77.22%,6.52%,44.70M,144.30%,39.55,69.03,62.52%,8.06%,546.44 -4.25%,341.22%,7.58,99.50,46.65% 5.13%,7.43%,114.71 356.11%,343.92%,-,114.39,13.64% 28.82%,47.09%,4.99%,5.68%,541.33%,-,22.55,123.87%,11.65%,27.12,12476.92%,-,1.96,34.97%,13.37%,70.57,1.53,- -,2.72,92.25%,11.07%,2.49,491.32,0.00%,0.06,37.85%,47.88%,0.77,542.52,31000,0.05,May 05 AMC,114.01%,37.33M,523.20,"Oct 15, 1979",Yes / Yes,6.24% 3.57%,"

","29,107,970",-3.56%,AMD,2026-06-05,SP500_FUNDAMENTALS
Aflac Inc,Financial,Insurance - Life,USA,Large,S&P 500,13.08,8.81,10.78%,510.53M,2.36%,58.68B,15.17,7.60,-2.00%,454.11M,0.73%,-,7.06,1.78,58.91%,1.91%,3.83%,4.64B,3.24,-5.68%,-1.50%,3.59,5.94%,18.11B,1.96,7.58%,3.93%,8.66M,4.55%,58.69,-,2.15%,16.47%,119.81 -3.77%,12.12%,-,20.00,-0.54% 0.43%,12.36%,96.95 18.92%,73.11%,2.44 (2.12%),-,-3.57% -4.97%,-,2.12%,1.85%,100.57%,2.38 (2.06%),-,37.42%,32.26%,2.24,233.59%,"May 20, 2026",-,7.25%,25.60%,52.36,3.12,13.19% 15.68%,1.05,3634.91%,-0.15%,0.61,112.43,34.04%,0.26,27.90%,1.45%,0.97,114.50,12716,0.25,Apr 29 AMC,3.88%,2.41M,115.29,"Jun 14, 1974",Yes / Yes,-2.44% 3.41%,"

","2,330,056",0.69%,AFL,2026-06-05,SP500_FUNDAMENTALS
AES Corp,Utilities,Utilities - Diversified,USA,Large,S&P 500,7.62,1.93,0.60%,713.14M,0.27%,10.50B,6.06,2.43,0.00%,708.86M,2.51%,47.08B,2.00,0.56,91.18%,2.50%,3.59%,1.38B,0.84,-0.90%,2.92%,1.53,5.52%,12.45B,2.38,4.76%,2.72%,17.69M,2.72%,6.20,4.67,3.03%,23.63%,17.65 -16.54%,44.84%,3.15,-,- 82.82%,3.93%,10.02 47.01%,-27.04%,0.71 (4.81%),12.57,-1.03% 4.83%,19.25%,0.30%,0.52%,-40.99%,0.70 (4.78%),3.78,5.46%,17.60%,0.07,31.28%,"May 01, 2026",0.65,2.76%,11.08%,66.33,2.83,3.03% 3.83%,0.73,955.97%,1.07%,0.94,15.12,53.52%,4.24,7.55%,2.03%,0.50,14.71,8336,3.80,May 05 AMC,3.20%,11.57M,14.73,"Jun 26, 1991",Yes / Yes,105.02% 2.37%,"

","5,942,069",0.14%,AES,2026-06-05,SP500_FUNDAMENTALS
Agilent Technologies Inc,Healthcare,Diagnostics & Research,USA,Large,S&P 500,27.79,4.98,0.33%,282.22M,2.21%,39.08B,20.99,6.59,-0.17%,281.49M,17.73%,40.63B,2.27,1.49,92.75%,1.95%,17.15%,1.41B,5.40,8.39%,-0.11%,2.44,-7.02%,7.23B,5.48,8.82%,11.21%,5.50M,1.69%,25.24,21.63,9.23%,21.33%,160.27 -13.66%,20.38%,6.40,35.95,3.03% 14.68%,13.90%,108.35 27.71%,17.04%,1.02 (0.74%),21.42,0.48% 5.41%,52.79%,3.25%,3.11%,0.34%,1.01 (0.73%),5.62,22.77%,22.40%,4.69,202.65%,"Jun 30, 2026",1.62,9.11%,19.55%,77.18,1.48,5.63% 6.58%,2.10,58.79%,14.77%,1.25,161.13,21.70%,0.47,10.01%,17.45%,0.94,137.40,18100,0.43,May 27 AMC,6.47%,2.26M,138.37,"Nov 18, 1999",Yes / Yes,5.79% 2.03%,"

","2,126,462",0.71%,A,2026-06-05,SP500_FUNDAMENTALS
